Faixa,n_cursos,pct_cursos,ano,tipo
0–10%,181721,0.5585520512197896,2023,10pct
10–20%,8619,0.02649204070780684,2023,10pct
20–30%,18608,0.057195021869227244,2023,10pct
30–40%,20602,0.06332393812069109,2023,10pct
40–50%,11750,0.03611573016785362,2023,10pct
50–60%,43468,0.13360668586691585,2023,10pct
60–70%,17536,0.05390003780625371,2023,10pct
70–80%,10931,0.03359838693317514,2023,10pct
80–90%,9313,0.02862517404708262,2023,10pct
90–100%,2795,0.00859093326120433,2023,10pct
Baixa (0–25%),196953,0.4903084950658714,2023,categorias
Média (25–50%),44347,0.1104005058602113,2023,categorias
Alta (50–75%),64461,0.1604736962647999,2023,categorias
Crítica (75–100%),95931,0.23881730280911742,2023,categorias
0–10%,160331,0.5456479124409535,2024,10pct
10–20%,6715,0.022852883921643367,2024,10pct
20–30%,14519,0.04941191685157707,2024,10pct
30–40%,17244,0.05868579751970487,2024,10pct
40–50%,9613,0.03271552838998625,2024,10pct
50–60%,41628,0.14167086401938497,2024,10pct
60–70%,17662,0.06010835976531126,2024,10pct
70–80%,11550,0.03930764099701874,2024,10pct
80–90%,10934,0.037211233477177745,2024,10pct
90–100%,3640,0.01238786261724227,2024,10pct
Baixa (0–25%),172086,0.4530152579317026,2024,categorias
Média (25–50%),36336,0.09565427990775743,2024,categorias
Alta (50–75%),63008,0.1658681436709594,2024,categorias
Crítica (75–100%),108438,0.2854623184895806,2024,categorias
