NO_CURSO,Rede,Grau,NO_REGIAO_IES,QT_ING_TOTAL,QT_DESV_TOTAL,ano
Acupuntura,Privada,Tecnólogo,Sul,135,20,2023
Administração,Privada,Bacharelado,Centro-Oeste,8776,4857,2023
Administração,Privada,Bacharelado,Nordeste,7940,2680,2023
Administração,Privada,Bacharelado,Norte,861,429,2023
Administração,Privada,Bacharelado,Sudeste,74765,35705,2023
Administração,Privada,Bacharelado,Sul,122517,75386,2023
Administração,Pública,Bacharelado,Nordeste,86,19,2023
Administração,Pública,Bacharelado,Sudeste,5436,1186,2023
Administração,Pública,Bacharelado,Sul,42,18,2023
Administração Pública,Privada,Bacharelado,Centro-Oeste,165,87,2023
Administração Pública,Privada,Bacharelado,Nordeste,4,1,2023
Administração Pública,Privada,Bacharelado,Sudeste,968,395,2023
Administração Pública,Privada,Bacharelado,Sul,2893,1147,2023
Administração Pública,Pública,Bacharelado,Centro-Oeste,191,67,2023
Administração Pública,Pública,Bacharelado,Nordeste,802,81,2023
Administração Pública,Pública,Bacharelado,Sudeste,521,77,2023
Administração Rural,Privada,Tecnólogo,Sul,183,54,2023
Agente Comunitário,Privada,Tecnólogo,Sul,136,0,2023
Agente Comunitário De Saúde E Endemias,Privada,Tecnólogo,Sul,1048,282,2023
Agricultura,Privada,Tecnólogo,Sul,909,313,2023
Agrimensura,Privada,Tecnólogo,Sul,81,28,2023
Agrocomputação,Privada,Tecnólogo,Sul,627,148,2023
Agroecologia,Privada,Tecnólogo,Sudeste,69,0,2023
Agronegócio,Privada,Bacharelado,Sul,55,21,2023
Agronegócio,Privada,Tecnólogo,Centro-Oeste,738,444,2023
Agronegócio,Privada,Tecnólogo,Nordeste,16,10,2023
Agronegócio,Privada,Tecnólogo,Sudeste,51,37,2023
Agronegócio,Privada,Tecnólogo,Sul,1955,1423,2023
Agronomia,Privada,Bacharelado,Centro-Oeste,529,264,2023
Agronomia,Privada,Bacharelado,Nordeste,16,1,2023
Agronomia,Privada,Bacharelado,Sudeste,3534,561,2023
Agronomia,Privada,Bacharelado,Sul,20378,10512,2023
Agronomia,Privada,Tecnólogo,Sul,2000,661,2023
Andragogia,Privada,Licenciatura,Sul,102,11,2023
Animação,Privada,Bacharelado,Sudeste,4,2,2023
Antropologia,Privada,Bacharelado,Sul,696,212,2023
Análise De Dados,Privada,Tecnólogo,Sudeste,33,12,2023
Análise E Desenvolvimento De Sistemas,Privada,Tecnólogo,Centro-Oeste,6127,2735,2023
Análise E Desenvolvimento De Sistemas,Privada,Tecnólogo,Nordeste,7587,2543,2023
Análise E Desenvolvimento De Sistemas,Privada,Tecnólogo,Norte,547,91,2023
Análise E Desenvolvimento De Sistemas,Privada,Tecnólogo,Sudeste,64416,25307,2023
Análise E Desenvolvimento De Sistemas,Privada,Tecnólogo,Sul,76962,37935,2023
Análise E Desenvolvimento De Sistemas,Pública,Tecnólogo,Nordeste,213,93,2023
Análise E Desenvolvimento De Sistemas,Pública,Tecnólogo,Norte,143,0,2023
Análise E Desenvolvimento De Sistemas,Pública,Tecnólogo,Sudeste,80,6,2023
Análise E Desenvolvimento De Sistemas,Pública,Tecnólogo,Sul,108,22,2023
Análises Clínicas,Privada,Tecnólogo,Sul,74,17,2023
